Period;#;Cum. net profit;Net profit;Gross profit;Gross loss;Commission;Cum. max. drawdown;Max. drawdown;% Win;Avg. trade;Avg. winner;Avg. loser;Lrg. winner;Lrg. loser;MTR;Avg. MAE;Avg. MFE;Avg. ETD;% Trade
23/12/2022;1;18,00 $;18,00 $;18,00 $;0,00 $;0,00 $;0,00 $;0,00 $;100.00 %;18,00 $;18,00 $;0,00 $;18,00 $;0,00 $;0.43;26,00 $;23,00 $;5,00 $;1.75 %
28/12/2022;1;19,00 $;1,00 $;1,00 $;0,00 $;0,00 $;0,00 $;0,00 $;100.00 %;1,00 $;1,00 $;0,00 $;1,00 $;0,00 $;3.09;36,50 $;6,00 $;5,00 $;1.75 %
29/12/2022;1;24,00 $;5,00 $;5,00 $;0,00 $;0,00 $;0,00 $;0,00 $;100.00 %;5,00 $;5,00 $;0,00 $;5,00 $;0,00 $;0.84;14,00 $;11,00 $;6,00 $;1.75 %
03/01/2023;2;34,00 $;10,00 $;160,00 $;-150,00 $;0,00 $;-150,00 $;-150,00 $;50.00 %;5,00 $;160,00 $;-150,00 $;160,00 $;-150,00 $;0.06;82,50 $;130,00 $;125,00 $;3.51 %
10/01/2023;1;44,50 $;10,50 $;10,50 $;0,00 $;0,00 $;0,00 $;0,00 $;100.00 %;10,50 $;10,50 $;0,00 $;10,50 $;0,00 $;0.09;1,00 $;11,50 $;1,00 $;1.75 %
11/01/2023;4;-240,50 $;-285,00 $;280,00 $;-565,00 $;0,00 $;-565,00 $;-565,00 $;75.00 %;-71,25 $;93,33 $;-565,00 $;145,00 $;-565,00 $;40.32;210,00 $;115,00 $;186,25 $;7.02 %
12/01/2023;2;89,50 $;330,00 $;330,00 $;0,00 $;0,00 $;-135,00 $;0,00 $;100.00 %;165,00 $;165,00 $;0,00 $;180,00 $;0,00 $;0.21;30,00 $;185,00 $;20,00 $;3.51 %
17/01/2023;1;274,50 $;185,00 $;185,00 $;0,00 $;0,00 $;0,00 $;0,00 $;100.00 %;185,00 $;185,00 $;0,00 $;185,00 $;0,00 $;0.68;20,00 $;230,00 $;45,00 $;1.75 %
18/01/2023;1;339,50 $;65,00 $;65,00 $;0,00 $;0,00 $;0,00 $;0,00 $;100.00 %;65,00 $;65,00 $;0,00 $;65,00 $;0,00 $;0.18;60,00 $;85,00 $;20,00 $;1.75 %
19/01/2023;1;489,50 $;150,00 $;150,00 $;0,00 $;0,00 $;0,00 $;0,00 $;100.00 %;150,00 $;150,00 $;0,00 $;150,00 $;0,00 $;1.70;165,00 $;225,00 $;75,00 $;1.75 %
23/01/2023;1;529,50 $;40,00 $;40,00 $;0,00 $;0,00 $;0,00 $;0,00 $;100.00 %;40,00 $;40,00 $;0,00 $;40,00 $;0,00 $;1.41;160,00 $;115,00 $;75,00 $;1.75 %
24/01/2023;1;574,50 $;45,00 $;45,00 $;0,00 $;0,00 $;0,00 $;0,00 $;100.00 %;45,00 $;45,00 $;0,00 $;45,00 $;0,00 $;1.23;175,00 $;75,00 $;30,00 $;1.75 %
25/01/2023;1;644,50 $;70,00 $;70,00 $;0,00 $;0,00 $;0,00 $;0,00 $;100.00 %;70,00 $;70,00 $;0,00 $;70,00 $;0,00 $;0.71;85,00 $;105,00 $;35,00 $;1.75 %
30/01/2023;1;839,50 $;195,00 $;195,00 $;0,00 $;0,00 $;0,00 $;0,00 $;100.00 %;195,00 $;195,00 $;0,00 $;195,00 $;0,00 $;0.96;140,00 $;310,00 $;115,00 $;1.75 %
01/02/2023;7;4.369,50 $;3.530,00 $;3.530,00 $;0,00 $;0,00 $;0,00 $;0,00 $;100.00 %;504,29 $;504,29 $;0,00 $;980,00 $;0,00 $;5.42;227,86 $;579,29 $;75,00 $;12.28 %
02/02/2023;2;4.653,50 $;284,00 $;284,00 $;0,00 $;0,00 $;0,00 $;0,00 $;100.00 %;142,00 $;142,00 $;0,00 $;275,00 $;0,00 $;0.39;21,50 $;195,50 $;53,50 $;3.51 %
03/02/2023;1;4.660,00 $;6,50 $;6,50 $;0,00 $;0,00 $;0,00 $;0,00 $;100.00 %;6,50 $;6,50 $;0,00 $;6,50 $;0,00 $;3.09;17,00 $;10,00 $;3,50 $;1.75 %
06/02/2023;2;4.726,50 $;66,50 $;66,50 $;0,00 $;0,00 $;0,00 $;0,00 $;100.00 %;33,25 $;33,25 $;0,00 $;60,00 $;0,00 $;0.33;25,00 $;67,50 $;34,25 $;3.51 %
07/02/2023;4;4.611,50 $;-115,00 $;20,00 $;-135,00 $;0,00 $;-135,00 $;-135,00 $;25.00 %;-28,75 $;20,00 $;-67,50 $;20,00 $;-130,00 $;60.74;98,75 $;25,00 $;53,75 $;7.02 %
08/02/2023;2;4.623,50 $;12,00 $;50,00 $;-38,00 $;0,00 $;-103,00 $;-38,00 $;50.00 %;6,00 $;50,00 $;-38,00 $;50,00 $;-38,00 $;12.44;148,25 $;37,75 $;31,75 $;3.51 %
09/02/2023;1;4.610,50 $;-13,00 $;0,00 $;-13,00 $;0,00 $;-116,00 $;-13,00 $;0.00 %;-13,00 $;0,00 $;-13,00 $;0,00 $;-13,00 $;0.98;20,00 $;6,00 $;19,00 $;1.75 %
10/02/2023;2;4.676,50 $;66,00 $;66,00 $;0,00 $;0,00 $;-61,00 $;0,00 $;100.00 %;33,00 $;33,00 $;0,00 $;55,00 $;0,00 $;2.33;131,25 $;50,50 $;17,50 $;3.51 %
14/02/2023;2;4.646,50 $;-30,00 $;75,00 $;-105,00 $;0,00 $;-105,00 $;-105,00 $;50.00 %;-15,00 $;75,00 $;-105,00 $;75,00 $;-105,00 $;22.82;62,50 $;52,50 $;67,50 $;3.51 %
15/02/2023;5;4.426,50 $;-220,00 $;145,00 $;-365,00 $;0,00 $;-400,00 $;-320,00 $;60.00 %;-44,00 $;48,33 $;-182,50 $;70,00 $;-320,00 $;79.23;173,00 $;87,00 $;131,00 $;8.77 %
16/02/2023;3;4.557,50 $;131,00 $;131,00 $;0,00 $;0,00 $;-195,00 $;0,00 $;66.67 %;43,67 $;65,50 $;0,00 $;130,00 $;0,00 $;72.24;46,33 $;61,50 $;17,83 $;5.26 %
17/02/2023;4;5.127,50 $;570,00 $;570,00 $;0,00 $;0,00 $;-84,00 $;0,00 $;100.00 %;142,50 $;142,50 $;0,00 $;200,00 $;0,00 $;0.31;265,00 $;248,75 $;106,25 $;7.02 %
20/02/2023;2;5.237,50 $;110,00 $;110,00 $;0,00 $;0,00 $;0,00 $;0,00 $;100.00 %;55,00 $;55,00 $;0,00 $;90,00 $;0,00 $;2.12;62,50 $;77,50 $;22,50 $;3.51 %
21/02/2023;1;5.337,50 $;100,00 $;100,00 $;0,00 $;0,00 $;0,00 $;0,00 $;100.00 %;100,00 $;100,00 $;0,00 $;100,00 $;0,00 $;0.25;5,00 $;150,00 $;50,00 $;1.75 %
