Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
03/01/2023,2,1000 $,1000 $,16000 $,-15000 $,000 $,-15000 $,-15000 $,50.00 %,500 $,16000 $,-15000 $,16000 $,-15000 $,0.06,8250 $,13000 $,12500 $,14.29 %,
10/01/2023,1,2050 $,1050 $,1050 $,000 $,000 $,000 $,000 $,100.00 %,1050 $,1050 $,000 $,1050 $,000 $,0.09,100 $,1150 $,100 $,7.14 %,
11/01/2023,4,-26450 $,-28500 $,28000 $,-56500 $,000 $,-56500 $,-56500 $,75.00 %,-7125 $,9333 $,-56500 $,14500 $,-56500 $,40.32,21000 $,11500 $,18625 $,28.57 %,
12/01/2023,2,6550 $,33000 $,33000 $,000 $,000 $,-13500 $,000 $,100.00 %,16500 $,16500 $,000 $,18000 $,000 $,0.21,3000 $,18500 $,2000 $,14.29 %,
17/01/2023,1,25050 $,18500 $,18500 $,000 $,000 $,000 $,000 $,100.00 %,18500 $,18500 $,000 $,18500 $,000 $,0.68,2000 $,23000 $,4500 $,7.14 %,
18/01/2023,1,31550 $,6500 $,6500 $,000 $,000 $,000 $,000 $,100.00 %,6500 $,6500 $,000 $,6500 $,000 $,0.18,6000 $,8500 $,2000 $,7.14 %,
19/01/2023,1,46550 $,15000 $,15000 $,000 $,000 $,000 $,000 $,100.00 %,15000 $,15000 $,000 $,15000 $,000 $,1.70,16500 $,22500 $,7500 $,7.14 %,
23/01/2023,1,50550 $,4000 $,4000 $,000 $,000 $,000 $,000 $,100.00 %,4000 $,4000 $,000 $,4000 $,000 $,1.41,16000 $,11500 $,7500 $,7.14 %,
24/01/2023,1,55050 $,4500 $,4500 $,000 $,000 $,000 $,000 $,100.00 %,4500 $,4500 $,000 $,4500 $,000 $,1.23,17500 $,7500 $,3000 $,7.14 %,
