Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
NQ 03-23,Buy,1,11143.00,03/01/2023 15:45:05,1009213|1527992274|1527992274,Entry,1 L,1527992274,Entry,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
NQ 03-23,Sell,1,11135.50,03/01/2023 15:45:09,1008897|1527992299|1527992299,Exit,-,1527992299,Stop1,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
NQ 03-23,Buy,1,11113.50,03/01/2023 15:46:21,1009212|1527997546|1527997546,Entry,1 L,1527997546,Entry,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
NQ 03-23,Sell,1,11121.50,03/01/2023 15:46:43,1009798|1527997558|1527997558,Exit,-,1527997558,Stop1,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
MNQ 03-23,Sell,1,11158.50,10/01/2023 16:33:39,1047567|1532007669|1532007669,Entry,1 S,1532007669,Entry,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
MNQ 03-23,Buy,1,11153.25,10/01/2023 16:33:44,1047177|1532008122|1532008122,Exit,-,1532008122,Close,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
NQ 03-23,Sell,1,11359.75,11/01/2023 16:22:10,1069195|1532693550|1532693550,Entry,1 S,1532693550,Entry,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
NQ 03-23,Buy,1,11388.00,11/01/2023 16:27:20,1070464|1532693552|1532693552,Exit,-,1532693552,Stop1,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
NQ 03-23,Sell,1,11368.75,11/01/2023 16:33:04,1070827|1532717984|1532717984,Entry,1 S,1532717984,Entry,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
NQ 03-23,Buy,1,11361.50,11/01/2023 16:33:26,1070184|1532717988|1532717988,Exit,-,1532717988,Stop1,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
NQ 03-23,Sell,1,11350.00,11/01/2023 16:46:32,1071189|1532749872|1532749872,Entry,1 S,1532749872,Entry,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
NQ 03-23,Buy,1,11346.25,11/01/2023 16:50:23,1072063|1532756541|1532756541,Exit,-,1532756541,Close,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
NQ 03-23,Buy,1,11322.00,11/01/2023 17:00:04,1071950|1532780656|1532780656,Entry,1 L,1532780656,Entry,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
NQ 03-23,Sell,1,11325.00,11/01/2023 17:02:30,1072668|1532784223|1532784223,Exit,-,1532784223,Close,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
NQ 03-23,Sell,1,11421.75,12/01/2023 14:44:40,1087154|1533265992|1533265992,Entry,1 S,1533265992,Entry,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
NQ 03-23,Buy,1,11414.25,12/01/2023 14:44:53,1087339|1533266295|1533266295,Exit,-,1533266295,Close,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
NQ 03-23,Buy,1,11337.50,12/01/2023 15:51:16,1091548|1533417695|1533417695,Entry,1 L,1533417695,Entry,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
NQ 03-23,Sell,1,11346.50,12/01/2023 15:51:28,1091156|1533417722|1533417722,Exit,-,1533417722,Stop1,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
NQ 03-23,Buy,1,11607.25,17/01/2023 16:52:00,1015908|1535151285|1535151285,Entry,1 L,1535151285,Entry,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
NQ 03-23,Sell,1,11616.50,17/01/2023 16:52:41,1015732|1535151293|1535151293,Exit,-,1535151293,Stop1,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
NQ 03-23,Buy,1,11582.75,18/01/2023 17:13:08,1038300|1535986686|1535986686,Entry,1 L,1535986686,Entry,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
NQ 03-23,Sell,1,11586.00,18/01/2023 17:13:19,1037419|1535986931|1535986931,Exit,-,1535986931,Close,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
NQ 03-23,Buy,1,11340.00,19/01/2023 17:01:48,1062045|1536672303|1536672303,Entry,1 L,1536672303,Entry,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
NQ 03-23,Sell,1,11347.50,19/01/2023 17:03:30,1061974|1536672311|1536672311,Exit,-,1536672311,Stop1,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
NQ 03-23,Sell,1,11824.00,23/01/2023 16:19:14,1008401|1537832940|1537832940,Entry,1 S,1537832940,Entry,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
NQ 03-23,Buy,1,11822.00,23/01/2023 16:20:38,1008516|1537832947|1537832947,Exit,-,1537832947,Stop1,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
NQ 03-23,Buy,1,11902.25,24/01/2023 16:32:31,1030719|1538525413|1538525413,Entry,1 L,1538525413,Entry,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
NQ 03-23,Sell,1,11904.50,24/01/2023 16:33:44,1030688|1538527711|1538527711,Exit,-,1538527711,Close,000 $,1,PA-LL025173-003!NaturalTrading!NaturalTrading,,
