,cot_commercial,cot_noncommercial,cot_dealer,cot_institutional,cot_leveragedfunds,cot_other
0,-5.021,13.517,29.238,20.324,-32.147,-8.919
1,-12.779,19.198,29.124,19.644,-30.771,-11.578
2,-1.285,4.516,10.824,11.004,-8.082,-10.515
3,2.914,1.172,17.244,9.385,-15.305,-7.238
4,4.177,1.362,8.321,5.745,-1.815,-6.712
5,13.928,-8.151,11.092,17.457,-12.278,-10.494
6,30.544,-20.633,21.592,28.152,-17.978,-21.855
7,37.079,-25.261,24.382,36.085,-29.309,-19.34
8,32.053,-15.858,24.406,38.031,-28.329,-17.913
9,30.152,-14.919,19.92,48.899,-38.967,-14.619
10,43.337,-22.824,35.913,45.978,-45.846,-15.532
11,34.62,-14.069,35.786,33.475,-34.836,-13.874
12,42.004,-23.829,39.837,24.183,-31.196,-14.649
13,36.075,-12.425,38.199,24.251,-27.856,-10.944
14,35.052,-6.472,30.679,20.055,-6.028,-16.126
15,16.858,-5.12,24.975,24.341,-30.429,-7.149
16,14.846,-7.348,28.525,24.32,-40.894,-4.453
17,12.556,-18.385,13.94,32.673,-44.341,-8.101
18,7.92,-2.13,3.067,40.255,-36.211,1.321
19,6.417,2.673,3.89,38.613,-31.625,-1.788
20,3.469,5.13,-1.485,41.15,-35.992,4.926
21,-501.0,13.29,-4.932,42.971,-34.805,9.555
22,-10.922,21.387,-10.058,44.308,-30.682,6.897
23,-7.158,19.964,-10.327,50.828,-31.406,3.711
24,-5.669,14.509,-12.007,58.582,-37.153,-582.0
