,dia,oi,volume,cambio
1,2023-05-12,2304479,1440520,1049.0
2,2023-05-15,2317662,1182279,13183.0
3,2023-05-16,2306298,1320165,-11364.0
4,2023-05-17,2360500,1589569,54202.0
5,2023-05-18,2395377,1766804,34877.0
6,2023-05-19,2400077,1720441,4700.0
7,2023-05-22,2397941,1309726,-2136.0
8,2023-05-23,2385936,1694866,-12005.0
9,2023-05-24,2399697,1921338,13761.0
10,2023-05-25,2418846,1975508,19149.0
11,2023-05-26,2462164,1754037,43318.0
12,2023-05-30,2494943,1970749,32779.0
13,2023-05-31,2450957,2164670,-43986.0
14,2023-06-01,2459295,1888885,8338.0
15,2023-06-02,2489291,1983813,29996.0
16,2023-06-05,2498625,1701217,9334.0
17,2023-06-06,2500232,1589684,1607.0
18,2023-06-07,2507877,2003501,7645.0
19,2023-06-08,2544324,1924912,36447.0
20,2023-06-09,2642614,3378488,98290.0
21,2023-06-12,2766399,3878584,123785.0
22,2023-06-13,2907468,3838442,141069.0
23,2023-06-14,2924249,2901646,16781.0
24,2023-06-15,2890134,2511555,-34115.0
25,2023-06-16,2846557,1936989,-43577.0
26,2023-06-20,2224431,1541877,-622126.0
27,2023-06-21,2222576,1469962,-1855.0
28,2023-06-22,2209954,1385425,-12622.0
29,2023-06-23,2206706,1552317,-3248.0
30,2023-06-26,2197573,1624452,-9133.0
31,2023-06-27,2188200,1513792,-9373.0
32,2023-06-28,2207897,1691481,19697.0
33,2023-06-29,2219236,1631018,11339.0
34,2023-06-30,2217777,1777470,-1459.0
35,2023-07-03,2214090,642178,-3687.0
